priority_rank,content_hash_id,decline_probability,reason_codes,recommended_action
150,content_dfe4809f79210161,0.834606115301455,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
151,content_c71b8e8d06d11947,0.8345310773906198,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
152,content_0e26e08df99cdcd8,0.8344989040623574,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
153,content_30ff6c0c992eddb2,0.8343945357496426,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
154,content_38427942e959d2e3,0.8338496098510143,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
155,content_0255bc9b7b50034a,0.8334976868375553,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
156,content_08a4183dbf8453bb,0.8332519435591649,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
157,content_ae3b911f68d7b789,0.8331758950171643,Under-clicking relative to peers; Weak average position,Rewrite title/meta description to improve click-through
158,content_b4ea543b8fea0236,0.8331281645826606,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
159,content_baf0f3fb89b8bbde,0.8331110129178592,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
160,content_86f48dbf973b9d75,0.8330100086205466,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
161,content_b2e41aeb826d3fcf,0.8329230814853922,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
162,content_649d7b72be089d9e,0.8329108322623695,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
163,content_cff4570fe8da7bf9,0.8328473086321586,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
164,content_98bfc9ac5f5e7e62,0.8325671647554717,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
165,content_34e8d285da7678c7,0.8321215385225204,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
166,content_8a52cfd35bef1a17,0.8320289055092533,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
167,content_f530b89e15432136,0.831914405229539,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
168,content_6effb79bb8484226,0.8318734242368835,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
169,content_4e144fcd6fdb098d,0.8317533062076863,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
170,content_bf83d788092f5fca,0.8312630368362872,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
171,content_63735205b0386a96,0.8311183162999967,Under-clicking relative to peers; High query concentration (single-query dependency),Rewrite title/meta description to improve click-through
172,content_2b072f1dd9afc767,0.8308876399947974,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
173,content_6e34aa9e5e843651,0.8306389089176051,Under-clicking relative to peers; Low query breadth (over-reliant on few queries),Rewrite title/meta description to improve click-through
174,content_b8e5e3273c808d2f,0.830588320737392,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
175,content_becb3f2342a6d772,0.8305192222171212,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
176,content_4674899870e494fd,0.8302212854029496,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
177,content_ec5b282a0ec5bd27,0.8300900112050683,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
178,content_a4e4a67753c88375,0.8297173065598901,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
179,content_c8b1854f7e623f33,0.8296760914297753,High query concentration (single-query dependency); Low query breadth (over-reliant on few queries),Diversify topic coverage to reduce single-query dependency
180,content_610f8395c61f8dea,0.8296670554362678,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
181,content_b64243e344b4ff4a,0.8296444781220373,Low query breadth (over-reliant on few queries),Expand coverage: add missing subtopics/sections to earn more query variety
182,content_84c12684ff9a5595,0.8295818580457869,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
183,content_c894a168c118c7c5,0.8294322861231263,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
184,content_5e35e729a34a6d4a,0.8292896533546977,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
185,content_a63ec809cb9242ed,0.8288726783265499,Under-clicking relative to peers; High query concentration (single-query dependency),Rewrite title/meta description to improve click-through
186,content_188b36c5daf10414,0.8284505305818094,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
187,content_70df733e11dc0039,0.8283462220777573,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
188,content_dbba7b14aba8576e,0.8279703533607523,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
189,content_0ba532d1822b7f13,0.82773722052786,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
190,content_0b6ea9bd331150ee,0.8273415636719464,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
191,content_b02c70a9acb9fe80,0.8271880831029096,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
192,content_c2c57043cdf25ec7,0.8270622785369912,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
193,content_bcd4e3a4ceecc3c0,0.8269800035404599,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
194,content_7471ee8c8e59bb82,0.8269530954421186,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
195,content_97932e03bb58f115,0.8268600970369892,Under-clicking relative to peers; Weak average position,Rewrite title/meta description to improve click-through
196,content_df581a246d97b291,0.8268235485430331,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
197,content_d3a2a63a865e28d7,0.826818273168645,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
198,content_1e6006cce88fe215,0.8266891184082636,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
199,content_9cb88db32fb79b6c,0.8265882963029463,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
200,content_02df22c049fab72b,0.8257293106315731,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
201,content_9942e36d4650b79b,0.8256314872139973,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
202,content_1d7c43d01181faaa,0.8256007281220635,Under-clicking relative to peers; Weak average position,Rewrite title/meta description to improve click-through
203,content_f63eca8b05d58aa2,0.8254013755569868,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
204,content_f42524faa69d2491,0.8253206464352815,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
205,content_9c8ce4146a27c373,0.8251952929579196,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
206,content_0c4bfb897ad619da,0.8251003143545684,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
207,content_96ca2842097a5912,0.8250028841061835,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
208,content_99332e8b9511e376,0.8249538182815666,Under-clicking relative to peers; Weak average position,Rewrite title/meta description to improve click-through
209,content_7256e768e986ca14,0.8247593925629179,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
210,content_bb093f72cd5d0ba4,0.8244691385765143,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
211,content_e294ac4a64636ad9,0.8241000499401121,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
